NAME,ELO,YEAR
Utah State,1692.38966956,2017.0
Winthrop,1691.98678223,2016.0
Bucknell,1691.88598641,2012.0
Loyola Marymount,1691.19457123,2017.0
New Mexico,1691.14078083,2016.0
Georgia State,1690.86304364,2017.0
Northern Colorado,1690.68737386,2011.0
Richmond,1690.41454805,2014.0
Nebraska,1689.40125748,2015.0
Georgia Tech,1689.39285672,2014.0
Fordham,1688.92136075,2016.0
Stephen F. Austin,1688.65839278,2017.0
Air Force,1688.6217011,2013.0
Vanderbilt,1688.44893998,2011.0
Wright State,1688.10566216,2014.0
Texas A&M-Corpus Christi,1687.98807414,2017.0
Wyoming,1687.8865313,2017.0
Columbia,1687.70826047,2016.0
Green Bay,1687.29274216,2017.0
Texas-El Paso,1686.80124776,2013.0
Saint Mary's (CA),1686.59915806,2011.0
William & Mary,1686.55936843,2017.0
Georgia,1686.46636732,2013.0
Butler,1686.43256593,2014.0
Northeastern,1685.35087917,2015.0
Marshall,1685.34123459,2011.0
Cleveland State,1685.12248541,2015.0
William & Mary,1684.5567918,2016.0
